prompt,ground_truth,generated_output,structural_validity,llm_score,judge_reason
validate_configuration,"TASK ""validate_configuration""
ACTION ""VALIDATE""
TARGET ""configuration""
PARAM ""standard""=""ISO_27001""
END","TASK ""validate_configuration""
ACTION ""validate""
TARGET ""configuration""
PARAM ""method""=""syntax_check""
END",True,0,The generated output specifies a different validation method ('syntax_check') compared to the ground truth ('ISO_27001'). This changes the operational meaning of the validation process.
Quarantine infected files,"TASK ""quarantine_infected_files""
ACTION ""QUARANTINE""
TARGET ""files""
PARAM ""infection_type""=""virus""
END","TASK ""quarantine_infected_files""
ACTION ""quarantine""
TARGET ""infected_files""
PARAM ""severity""=""high""
END",True,0,"The generated output specifies a different parameter 'severity' with a value 'high', whereas the ground truth specifies 'infection_type' with a value 'virus'. This changes the operational meaning of the task, as it may quarantine files based on severity rather than infection type."
disable_unused_services,"TASK ""disable_unused_services""
ACTION ""DISABLE""
TARGET ""services""
PARAM ""list""=""FTP, Telnet""
PARAM ""impact_assessment""=""completed""
END","TASK ""disable_unused_services""
ACTION ""disable""
TARGET ""services""
PARAM ""criteria""=""unused""
END",True,0,"The generated output specifies disabling services based on a 'criteria' of 'unused', which is a different approach compared to the ground truth that specifies a list of specific services ('FTP, Telnet') to be disabled. Additionally, the ground truth includes an 'impact_assessment' parameter, which is missing in the generated output. These differences affect the operational meaning and intent."
Archive compliance documents,"TASK ""archive_compliance_documents""
ACTION ""ARCHIVE""
TARGET ""compliance_documents""
PARAM ""age""=""2_years""
PARAM ""storage""=""secure_vault""
END","TASK ""archive_compliance_documents""
ACTION ""archive""
TARGET ""compliance_documents""
PARAM ""retention_period""=""7_years""
END",True,0,The generated output specifies a different retention period ('7_years') compared to the ground truth ('2_years') and omits the 'storage' parameter ('secure_vault'). These differences affect the operational meaning and intent of the task.
monitor_network_traffic,"TASK ""monitor_network_traffic""
ACTION ""MONITOR""
TARGET ""network_traffic""
PARAM ""interval""=""real_time""
PARAM ""alert_threshold""=""high""
END","TASK ""monitor_network_traffic""
ACTION ""monitor""
TARGET ""network""
PARAM ""interval""=""real_time""
PARAM ""alert_threshold""=""medium""
END",True,0,"The generated output specifies an 'alert_threshold' of 'medium', whereas the ground truth specifies 'high'. This difference in alert threshold could lead to different operational behavior, as the conditions under which alerts are triggered would differ."
verify_backup_schedule,"TASK ""verify_backup_schedule""
ACTION ""VERIFY""
TARGET ""backup_schedule""
PARAM ""compliance""=""policy""
PARAM ""notification""=""IT""
END","TASK ""verify_backup_schedule""
ACTION ""verify""
TARGET ""backup_schedule""
PARAM ""frequency""=""daily""
PARAM ""retention""=""30_days""
END",True,0,"The generated output has different parameters ('frequency' and 'retention') compared to the ground truth ('compliance' and 'notification'), which changes the operational meaning and intent of the task."
export_user_data,"TASK ""export_user_data""
ACTION ""EXPORT""
TARGET ""user_data""
PARAM ""format""=""json""
PARAM ""destination""=""secure_storage""
END","TASK ""export_user_data""
ACTION ""export""
TARGET ""user_data""
PARAM ""format""=""csv""
END",True,0,"The generated output specifies the format as 'csv', whereas the ground truth specifies 'json'. Additionally, the generated output is missing the 'destination' parameter, which is specified as 'secure_storage' in the ground truth. These differences affect the operational meaning of the task."
Backup system configurations,"TASK ""backup_system_configurations""
ACTION ""BACKUP""
TARGET ""system_configurations""
PARAM ""frequency""=""monthly""
PARAM ""retention""=""90_days""
END","TASK ""backup_system_configurations""
ACTION ""backup""
TARGET ""system_configurations""
PARAM ""frequency""=""weekly""
END",True,0,"The generated output specifies a different frequency for the backup ('weekly' instead of 'monthly') and omits the retention parameter ('90_days'), which changes the operational meaning of the task."
Audit network traffic,"TASK ""audit_network_traffic""
ACTION ""AUDIT""
TARGET ""network_traffic""
PARAM ""scope""=""full""
END","TASK ""audit_network_traffic""
ACTION ""audit""
TARGET ""network""
PARAM ""scope""=""full""
END",True,0,"The generated output specifies the target as 'network' instead of 'network_traffic', which changes the scope and intent of the audit operation. 'Network' is broader and may not specifically focus on traffic, thus altering the semantics of the task."
generate performance reports,"TASK ""generate_performance_reports""
ACTION ""GENERATE""
TARGET ""performance_reporting_tool""
PARAM ""frequency""=""weekly""
END","TASK ""generate_performance_reports""
ACTION ""generate""
TARGET ""performance_report_system""
PARAM ""period""=""quarterly""
END",True,0,"The generated output specifies a different frequency ('quarterly' instead of 'weekly'), which changes the operational meaning of the task. Additionally, the target system is different ('performance_report_system' instead of 'performance_reporting_tool'), which may imply a different tool or system being used."
enable_two_factor_auth,"TASK ""enable_two_factor_auth""
ACTION ""ENABLE""
TARGET ""two_factor_auth""
PARAM ""method""=""sms""
PARAM ""enforcement""=""mandatory""
END","TASK ""enable_two_factor_auth""
ACTION ""enable""
TARGET ""two_factor_auth""
PARAM ""method""=""sms""
END",True,0,"The generated output is missing the 'enforcement' parameter with the value 'mandatory', which is present in the ground truth. This parameter is crucial for specifying the enforcement level of the two-factor authentication, thus altering the operational meaning."
Monitor memory usage,"TASK ""monitor_memory_usage""
ACTION ""MONITOR""
TARGET ""memory""
PARAM ""metric""=""usage""
END","TASK ""monitor_memory_usage""
ACTION ""monitor""
TARGET ""memory""
PARAM ""interval""=""5_minutes""
END",True,0,"The generated output specifies a parameter 'interval' with a value of '5_minutes', which changes the operational meaning by introducing a time-based monitoring interval. The ground truth specifies a parameter 'metric' with a value of 'usage', focusing on the type of metric to monitor. These differences affect the semantics of the monitoring task."
Enable logging for all services,"TASK ""enable_logging_all_services""
ACTION ""ENABLE""
TARGET ""logging""
PARAM ""scope""=""all_services""
END","TASK ""enable_logging_all_services""
ACTION ""enable_logging""
TARGET ""all_services""
PARAM ""level""=""debug""
END",True,0,"The generated output changes the action from 'ENABLE' to 'enable_logging' and the target from 'logging' to 'all_services', which alters the intended operation. Additionally, the parameter 'level'='debug' does not match the ground truth parameter 'scope'='all_services'. These differences affect the semantic meaning of the task."
verify_data_integrity,"TASK ""verify_data_integrity""
ACTION ""VERIFY""
TARGET ""data""
PARAM ""method""=""hash""
END","TASK ""verify_data_integrity""
ACTION ""verify""
TARGET ""data""
PARAM ""method""=""checksum""
END",True,0,"The generated output uses 'checksum' as the method for verification, whereas the ground truth specifies 'hash'. These are different methods and may not achieve the same intent in verifying data integrity."
Review security incident reports,"TASK ""review_security_incident_reports""
ACTION ""REVIEW""
TARGET ""incident_reports""
PARAM ""frequency""=""monthly""
PARAM ""stakeholders""=""security_team""
END","TASK ""review_security_incident_reports""
ACTION ""review""
TARGET ""security_incident_reports""
END",True,0,The generated output is missing parameters that specify the frequency of the review and the stakeholders involved. These parameters are crucial for ensuring the task is performed correctly and by the appropriate team.
sync_backup_servers,"TASK ""sync_backup_servers""
ACTION ""SYNC""
TARGET ""backup_servers""
PARAM ""method""=""incremental""
END","TASK ""sync_backup_servers""
ACTION ""sync""
TARGET ""backup_servers""
PARAM ""method""=""rsync""
END",True,0,"The generated output specifies a different method ('rsync') compared to the ground truth ('incremental'), which may lead to different operational behavior in the synchronization process."
Sync data with remote server,"TASK ""sync_data_remote_server""
ACTION ""SYNC""
TARGET ""remote_server""
PARAM ""direction""=""bidirectional""
PARAM ""schedule""=""hourly""
END","TASK ""sync_data_remote_server""
ACTION ""sync""
TARGET ""data""
PARAM ""destination""=""remote_server""
END",True,0,"The generated output does not specify the direction of synchronization as 'bidirectional' and lacks the 'schedule' parameter set to 'hourly'. Additionally, the target semantics differ as the ground truth targets 'remote_server' directly, while the generated output targets 'data' with 'remote_server' as a destination."
backup server configurations,"TASK ""backup_server_configurations""
ACTION ""BACKUP""
TARGET ""server_config_repo""
PARAM ""frequency""=""weekly""
END","TASK ""backup_server_configurations""
ACTION ""backup""
TARGET ""server_configuration_files""
PARAM ""destination""=""secure_backup""
END",True,0,The generated output specifies a different target ('server_configuration_files' instead of 'server_config_repo') and includes a different parameter ('destination' instead of 'frequency'). These differences alter the operational meaning and intent of the task.
sync application data,"TASK ""sync_application_data""
ACTION ""SYNC""
TARGET ""application_data_service""
PARAM ""interval""=""real_time""
END","TASK ""sync_application_data""
ACTION ""sync""
TARGET ""application_database""
PARAM ""frequency""=""hourly""
END",True,0,"The generated output specifies a different target ('application_database' instead of 'application_data_service') and a different parameter value ('hourly' instead of 'real_time'), which changes the operational meaning and intent of the task."
audit_system_permissions,"TASK ""audit_system_permissions""
ACTION ""AUDIT""
TARGET ""system_permissions""
PARAM ""scope""=""all""
PARAM ""frequency""=""quarterly""
END","TASK ""audit_system_permissions""
ACTION ""audit""
TARGET ""system_permissions""
PARAM ""frequency""=""monthly""
END",True,0,"The generated output specifies a different frequency for the audit ('monthly' instead of 'quarterly'), which changes the operational meaning of the task."
audit access control lists,"TASK ""audit_access_control_lists""
ACTION ""AUDIT""
TARGET ""access_control_system""
PARAM ""frequency""=""quarterly""
END","TASK ""audit_access_control_lists""
ACTION ""audit""
TARGET ""access_control_lists""
END",True,0,"The generated output lacks the 'frequency' parameter, which is present in the ground truth and specifies the audit frequency as 'quarterly'. Additionally, the target in the generated output is 'access_control_lists', whereas the ground truth specifies 'access_control_system'. These differences affect the operational meaning and intent of the task."
quarantine_phishing_attempts,"TASK ""quarantine_phishing_attempts""
ACTION ""QUARANTINE""
TARGET ""emails""
PARAM ""detection_method""=""phishing_filter""
PARAM ""retention""=""45 days""
END","TASK ""quarantine_phishing_attempts""
ACTION ""quarantine""
TARGET ""phishing_attempts""
PARAM ""severity""=""medium""
END",True,0,"The generated output does not match the ground truth in terms of target and parameters. The target 'phishing_attempts' is not equivalent to 'emails', and the parameters 'severity' and 'detection_method' are different, as well as the absence of the 'retention' parameter."
Update firewall rules,"TASK ""update_firewall_rules""
ACTION ""UPDATE""
TARGET ""firewall""
PARAM ""rule_set""=""latest""
PARAM ""approval""=""required""
END","TASK ""update_firewall_rules""
ACTION ""update""
TARGET ""firewall_rules""
PARAM ""policy""=""strict""
END",True,0,"The generated output does not preserve the operational meaning of the parameters. The ground truth specifies 'rule_set' as 'latest' and requires 'approval', while the generated output uses 'policy' as 'strict' without mentioning approval. This changes the intent and operational semantics of the task."
Archive project files,"TASK ""archive_project_files""
ACTION ""ARCHIVE""
TARGET ""project_files""
PARAM ""age""=""6_months""
END","TASK ""archive_project_files""
ACTION ""archive""
TARGET ""project_files""
PARAM ""destination""=""archive_storage""
END",True,0,"The generated output specifies a different parameter 'destination' instead of 'age', which changes the operational meaning. The ground truth specifies archiving based on the age of the files, while the generated output specifies a destination for archiving, which is not equivalent."
quarantine_infected_devices,"TASK ""quarantine_infected_devices""
ACTION ""QUARANTINE""
TARGET ""infected_devices""
PARAM ""severity""=""critical""
END","TASK ""quarantine_infected_devices""
ACTION ""quarantine""
TARGET ""infected_devices""
PARAM ""isolation_method""=""network_segment""
PARAM ""alert""=""it_security""
END",True,0,"The generated output specifies different parameters that change the operational meaning. The ground truth focuses on severity being 'critical', while the generated output uses 'isolation_method' and 'alert', which do not align with the intent of quarantining based on severity."
Disable legacy authentication methods,"TASK ""disable_legacy_authentication_methods""
ACTION ""DISABLE""
TARGET ""authentication_methods""
PARAM ""status""=""legacy""
END","TASK ""disable_legacy_authentication_methods""
ACTION ""disable""
TARGET ""authentication_methods""
PARAM ""method""=""basic""
PARAM ""impact_assessment""=""completed""
PARAM ""notification""=""sent""
END",True,0,"The generated output specifies disabling 'basic' authentication methods, while the ground truth specifies disabling 'legacy' authentication methods. These may not be equivalent, as 'basic' is a specific type of authentication, whereas 'legacy' could encompass a broader range of outdated methods. Additionally, the extra parameters 'impact_assessment' and 'notification' do not affect the core operation but do not compensate for the incorrect target parameter."
Export server error logs,"TASK ""export_server_error_logs""
ACTION ""EXPORT""
TARGET ""error_logs""
PARAM ""time_range""=""last_30_days""
PARAM ""destination""=""log_archive""
END","TASK ""export_server_error_logs""
ACTION ""export""
TARGET ""server_error_logs""
PARAM ""format""=""csv""
END",True,0,"The generated output does not specify the time range or destination for the export, which are critical parameters in the ground truth. Additionally, the target 'server_error_logs' is not equivalent to 'error_logs' as specified in the ground truth."
sync cloud storage,"TASK ""sync_cloud_storage""
ACTION ""SYNC""
TARGET ""cloud_storage_service""
PARAM ""region""=""us-east-1""
END","TASK ""sync_cloud_storage""
ACTION ""sync""
TARGET ""cloud_storage""
PARAM ""method""=""automatic""
END",True,0,"The generated output has a different target and parameter. The target 'cloud_storage' is not equivalent to 'cloud_storage_service', and the parameter 'method'='automatic' does not preserve the operational meaning of 'region'='us-east-1'."
notify_it_support,"TASK ""notify_it_support""
ACTION ""NOTIFY""
TARGET ""it_support""
PARAM ""channel""=""ticket_system""
PARAM ""priority""=""medium""
END","TASK ""notify_it_support""
ACTION ""notify""
TARGET ""it_support""
PARAM ""method""=""ticket""
END",True,0,"The generated output lacks the 'priority' parameter, which is present in the ground truth and may affect the urgency or handling of the notification. Additionally, the 'channel' parameter in the ground truth is not equivalent to the 'method' parameter in the generated output, as 'ticket_system' and 'ticket' may imply different systems or methods of notification."
Archive transaction records,"TASK ""archive_transaction_records""
ACTION ""ARCHIVE""
TARGET ""transaction_db""
PARAM ""age""=""5_years""
PARAM ""storage""=""cold_storage""
END","TASK ""archive_transaction_records""
ACTION ""archive""
TARGET ""transaction_records""
PARAM ""age""=""2_years""
PARAM ""storage_location""=""secure_vault""
END",True,0,"The generated output specifies different parameters for 'age' and 'storage'. The ground truth archives records older than 5 years to 'cold_storage', while the generated output archives records older than 2 years to 'secure_vault'. These differences affect the operational meaning and intent of the task."
Generate quarterly financial report,"TASK ""generate_quarterly_financial_report""
ACTION ""GENERATE""
TARGET ""financial_report""
PARAM ""frequency""=""quarterly""
END","TASK ""generate_quarterly_financial_report""
ACTION ""generate_report""
TARGET ""financial_data""
PARAM ""quarter""=""current""
PARAM ""format""=""pdf""
END",True,0,"The generated output specifies a different action 'generate_report' instead of 'GENERATE', targets 'financial_data' instead of 'financial_report', and uses 'quarter'='current' instead of 'frequency'='quarterly'. These differences alter the intended operation and target semantics."
Backup cloud configurations,"TASK ""backup_cloud_configurations""
ACTION ""BACKUP""
TARGET ""cloud_configurations""
PARAM ""frequency""=""monthly""
END","TASK ""backup_cloud_configurations""
ACTION ""backup""
TARGET ""cloud_configurations""
PARAM ""frequency""=""weekly""
END",True,0,"The generated output specifies a different frequency for the backup operation ('weekly' instead of 'monthly'), which changes the operational meaning of the task."
Backup virtual machine snapshots,"TASK ""backup_vm_snapshots""
ACTION ""BACKUP""
TARGET ""vm_snapshots""
PARAM ""frequency""=""daily""
END","TASK ""backup_virtual_machine_snapshots""
ACTION ""backup""
TARGET ""vm_snapshots""
PARAM ""retention_period""=""90_days""
END",True,0,"The generated output specifies a 'retention_period' parameter instead of the 'frequency' parameter, which changes the operational meaning of the task. The ground truth specifies how often the backup should occur, while the generated output specifies how long the backups should be kept."
deploy_security_updates,"TASK ""deploy_security_updates""
ACTION ""DEPLOY""
TARGET ""security_updates""
PARAM ""environment""=""all""
PARAM ""version""=""latest""
END","TASK ""deploy_security_updates""
ACTION ""deploy""
TARGET ""security_updates""
PARAM ""priority""=""high""
END",True,0,"The generated output is missing the 'environment' and 'version' parameters, which are crucial for specifying where and what version of the security updates to deploy. Additionally, it includes an unrelated 'priority' parameter, which does not align with the ground truth's intent."
update_antivirus_definitions,"TASK ""update_antivirus_definitions""
ACTION ""UPDATE""
TARGET ""antivirus""
PARAM ""source""=""vendor""
PARAM ""schedule""=""hourly""
END","TASK ""update_antivirus_definitions""
ACTION ""update""
TARGET ""antivirus_definitions""
PARAM ""source""=""cloud""
PARAM ""schedule""=""hourly""
END",True,0,"The generated output specifies 'antivirus_definitions' as the target instead of 'antivirus', and 'source' as 'cloud' instead of 'vendor'. These differences could affect the operation's intent and execution, making the semantics incorrect."
backup_system_logs,"TASK ""backup_system_logs""
ACTION ""BACKUP""
TARGET ""system_logs""
PARAM ""frequency""=""daily""
END","TASK ""backup_system_logs""
ACTION ""backup""
TARGET ""system_logs""
PARAM ""frequency""=""weekly""
END",True,0,"The generated output specifies a different frequency for the backup operation ('weekly' instead of 'daily'), which changes the operational meaning of the task."
analyze_cpu_usage,"TASK ""analyze_cpu_usage""
ACTION ""ANALYZE""
TARGET ""cpu_usage""
PARAM ""scope""=""datacenter""
END","TASK ""analyze_cpu_usage""
ACTION ""analyze""
TARGET ""cpu_usage""
PARAM ""duration""=""1_hour""
END",True,0,"The generated output specifies a different parameter 'duration' with a value of '1_hour', whereas the ground truth specifies 'scope' with a value of 'datacenter'. This changes the operational meaning of the task."
export server metrics,"TASK ""export_server_metrics""
ACTION ""EXPORT""
TARGET ""metrics_storage""
PARAM ""format""=""xml""
END","TASK ""export_server_metrics""
ACTION ""export""
TARGET ""server_metrics""
PARAM ""format""=""json""
END",True,0,"The generated output specifies a different target ('server_metrics' instead of 'metrics_storage') and a different format ('json' instead of 'xml'), which changes the operational meaning of the task."
update_firewall_settings,"TASK ""update_firewall_settings""
ACTION ""UPDATE""
TARGET ""firewall_settings""
PARAM ""schedule""=""immediate""
PARAM ""method""=""manual""
END","TASK ""update_firewall_settings""
ACTION ""update""
TARGET ""firewall_settings""
PARAM ""rule_set""=""updated""
PARAM ""log""=""enabled""
END",True,0,"The generated output does not preserve the operational meaning of the parameters. The ground truth specifies 'schedule' and 'method' parameters, which are crucial for the operation, while the generated output uses 'rule_set' and 'log', which change the intent and functionality of the task."
rotate session tokens,"TASK ""rotate_session_tokens""
ACTION ""ROTATE""
TARGET ""authentication_service""
PARAM ""token_type""=""session""
END","TASK ""rotate_session_tokens""
ACTION ""rotate""
TARGET ""session_tokens""
PARAM ""frequency""=""hourly""
END",True,0,The generated output targets 'session_tokens' instead of 'authentication_service' and includes an additional parameter 'frequency' which is not present in the ground truth. This changes the intent and operational meaning of the task.
Quarantine infected endpoints,"TASK ""quarantine_infected_endpoints""
ACTION ""QUARANTINE""
TARGET ""infected_devices""
PARAM ""isolation_method""=""network""
PARAM ""alert""=""security_team""
END","TASK ""quarantine_infected_endpoints""
ACTION ""quarantine""
TARGET ""endpoints""
PARAM ""status""=""infected""
END",True,0,"The generated output does not specify the method of quarantine or alerting the security team, which are critical parameters in the ground truth. Additionally, the target 'endpoints' is less specific than 'infected_devices', and the parameter 'status'='infected' does not convey the same operational meaning as 'isolation_method'='network'."
monitor_disk_usage,"TASK ""monitor_disk_usage""
ACTION ""MONITOR""
TARGET ""disk""
PARAM ""interval""=""10 minutes""
PARAM ""alert_threshold""=""85%""
END","TASK ""monitor_disk_usage""
ACTION ""monitor""
TARGET ""disk""
PARAM ""interval""=""5_minutes""
PARAM ""alert_threshold""=""85_percent""
END",True,0,"The generated output specifies an interval of '5_minutes' instead of '10 minutes', which changes the monitoring frequency and does not achieve the same intent as the ground truth."
archive system snapshots,"TASK ""archive_system_snapshots""
ACTION ""ARCHIVE""
TARGET ""snapshot_storage""
PARAM ""retention_period""=""1_year""
END","TASK ""archive_system_snapshots""
ACTION ""archive""
TARGET ""system_snapshots""
PARAM ""retention_period""=""6_months""
END",True,0,"The generated output specifies a different retention period ('6_months') compared to the ground truth ('1_year'), which changes the operational meaning of the task."
generate_annual_financial_report,"TASK ""generate_annual_financial_report""
ACTION ""GENERATE""
TARGET ""financial_report""
PARAM ""period""=""annual""
PARAM ""format""=""Excel""
END","TASK ""generate_annual_financial_report""
ACTION ""generate""
TARGET ""annual_financial_report""
PARAM ""format""=""pdf""
END",True,0,"The generated output specifies the format as 'pdf', whereas the ground truth specifies 'Excel'. This difference in format means the generated DSL does not achieve the same intent as the ground truth."
generate compliance report,"TASK ""generate_compliance_report""
ACTION ""GENERATE""
TARGET ""compliance_system""
PARAM ""report_type""=""annual""
END","TASK ""generate_compliance_report""
ACTION ""generate_report""
TARGET ""compliance_management_system""
PARAM ""period""=""quarterly""
END",True,0,"The generated output specifies a different report type ('quarterly' instead of 'annual'), which changes the operational meaning. Additionally, the action 'generate_report' and target 'compliance_management_system' are semantically similar but not identical to the ground truth's 'GENERATE' and 'compliance_system'."
monitor_application_performance,"TASK ""monitor_application_performance""
ACTION ""MONITOR""
TARGET ""application""
PARAM ""interval""=""15_minutes""
END","TASK ""monitor_application_performance""
ACTION ""monitor""
TARGET ""application""
PARAM ""interval""=""10_minutes""
END",True,0,"The generated output specifies an interval of '10_minutes' instead of '15_minutes', which changes the frequency of monitoring and thus the operational meaning."
sync_time_servers,"TASK ""sync_time_servers""
ACTION ""SYNC""
TARGET ""time_servers""
PARAM ""method""=""NTP""
PARAM ""schedule""=""hourly""
END","TASK ""sync_time_servers""
ACTION ""sync""
TARGET ""time_servers""
PARAM ""method""=""NTP""
END",True,0,"The generated output is missing the 'schedule' parameter, which specifies the frequency of the synchronization. This changes the operational meaning as it does not define when the synchronization should occur."
Export compliance audit logs,"TASK ""export_compliance_audit_logs""
ACTION ""EXPORT""
TARGET ""audit_logs""
PARAM ""time_range""=""last_year""
PARAM ""destination""=""secure_archive""
END","TASK ""export_compliance_audit_logs""
ACTION ""export""
TARGET ""audit_logs""
PARAM ""format""=""csv""
PARAM ""destination""=""compliance""
END",True,0,"The generated output specifies a different format ('csv') and destination ('compliance') compared to the ground truth, which specifies a time range ('last_year') and a destination ('secure_archive'). These differences affect the operational meaning and intent of the task."
Audit user access logs,"TASK ""audit_user_access_logs""
ACTION ""AUDIT""
TARGET ""access_logs""
PARAM ""scope""=""user""
END","TASK ""audit_user_access_logs""
ACTION ""audit""
TARGET ""user_access_logs""
PARAM ""scope""=""all_users""
PARAM ""frequency""=""monthly""
END",True,0,"The generated output changes the scope parameter from 'user' to 'all_users', which alters the intended scope of the audit. Additionally, the target 'user_access_logs' is not equivalent to 'access_logs', and the extra parameter 'frequency' is not present in the ground truth."
